1240,579,1762,735
1697,2193,2350,2346
1305,356,1697,503
1044,2188,1697,2334
1893,492,2284,624
2023,2298,2415,2371
1109,1553,1697,1704
1175,938,1697,1086
1109,1460,1436,1571
1109,1724,1436,1820
1044,2386,1305,2443
1305,107,1762,430
1958,216,2088,346
1044,2098,1436,2214
1893,166,2284,282
1175,793,1762,967
1893,876,2219,1248
1566,2337,2415,2432
1697,1233,2350,1406
1109,1332,1436,1450
1044,1975,1370,2081
1762,1844,2219,2131
1109,1199,1501,1333
1893,2,2350,223
1109,1081,1436,1221
1175,700,1697,859
1044,1843,1436,1954
